sample	editor	specific_editor	window	value	metric	dataset
89B	CBE	BE3	1	0.966232714858526	AUROC	Train
89B	CBE	BE3	1	0.945292609432027	AUPRC	Train
89B	CBE	BE3	1	0.971337602715192	AUROC	Test
89B	CBE	BE3	1	0.929614162517276	AUPRC	Test
89B	CBE	BE3	3	0.970654601417718	AUROC	Train
89B	CBE	BE3	3	0.951031844323601	AUPRC	Train
89B	CBE	BE3	3	0.97513685772694	AUROC	Test
89B	CBE	BE3	3	0.937270321793477	AUPRC	Test
