sample	editor	specific_editor	window	value	metric	dataset
160F	CBE	A3A	1	0.962673322860668	AUROC	Train
160F	CBE	A3A	1	0.842683120928756	AUPRC	Train
160F	CBE	A3A	1	0.961231634140265	AUROC	Test
160F	CBE	A3A	1	0.850217613924427	AUPRC	Test
160F	CBE	A3A	3	0.973435978784094	AUROC	Train
160F	CBE	A3A	3	0.902167399740939	AUPRC	Train
160F	CBE	A3A	3	0.972713682077739	AUROC	Test
160F	CBE	A3A	3	0.904381811853292	AUPRC	Test
160F	CBE	A3A	5	0.976467043929848	AUROC	Train
160F	CBE	A3A	5	0.909895906551084	AUPRC	Train
160F	CBE	A3A	5	0.972058956041255	AUROC	Test
160F	CBE	A3A	5	0.906395247347486	AUPRC	Test
