sample	editor	specific_editor	window	value	metric	dataset
243B	ABE	ABEmax	1	0.869428661887901	AUROC	Train
243B	ABE	ABEmax	1	0.6125233985219	AUPRC	Train
243B	ABE	ABEmax	1	0.856506658133393	AUROC	Test
243B	ABE	ABEmax	1	0.609678840321787	AUPRC	Test
243B	ABE	ABEmax	3	0.892747814216675	AUROC	Train
243B	ABE	ABEmax	3	0.689193974599285	AUPRC	Train
243B	ABE	ABEmax	3	0.887076063604553	AUROC	Test
243B	ABE	ABEmax	3	0.697236022899052	AUPRC	Test
243B	ABE	ABEmax	5	0.90040212440324	AUROC	Train
243B	ABE	ABEmax	5	0.706448218895947	AUPRC	Train
243B	ABE	ABEmax	5	0.887861867026541	AUROC	Test
243B	ABE	ABEmax	5	0.701735988181805	AUPRC	Test
